n,p,E,Algorithm,Edges,Weight,Number of Solutions Tested,Execution Time,Number of Basic Operations,Relative Error,Accuracy Ratio
4,0.125,4,Exhaustive Search,"[(2, 3)]",10,13,0.0004773139953613281,15,NA,NA
4,0.125,4,Minimum Weight Greedy Heuristics,"[(2, 4), (1, 3)]",18,2,6.67572021484375e-05,2,0.8,1.8
4,0.125,4,Maximum Connection Greedy Heuristics,"[(2, 3)]",10,1,9.799003601074219e-05,1,0.0,1.0
4,0.125,4,Chaurasia Greedy Heuristics,"[(2, 3)]",10,1,0.0001010894775390625,1,0.0,1.0
4,0.25,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,57,0.0019664764404296875,63,NA,NA
4,0.25,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,6.556510925292969e-05,2,0.0,1.0
4,0.25,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00013875961303710938,2,0.125,1.125
4,0.25,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.0001423358917236328,2,0.125,1.125
4,0.5,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,57,0.0018291473388671875,63,NA,NA
4,0.5,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,6.67572021484375e-05,2,0.0,1.0
4,0.5,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00013303756713867188,2,0.125,1.125
4,0.5,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.0001780986785888672,2,0.125,1.125
4,0.75,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,57,0.0022580623626708984,63,NA,NA
4,0.75,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,6.628036499023438e-05,2,0.0,1.0
4,0.75,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.0001285076141357422,2,0.125,1.125
4,0.75,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.0001361370086669922,2,0.125,1.125
5,0.125,4,Exhaustive Search,"[(3, 5)]",10,11,0.000476837158203125,15,NA,NA
5,0.125,4,Minimum Weight Greedy Heuristics,"[(3, 5)]",10,1,4.839897155761719e-05,1,0.0,1.0
5,0.125,4,Maximum Connection Greedy Heuristics,"[(3, 5)]",10,1,9.703636169433594e-05,1,0.0,1.0
5,0.125,4,Chaurasia Greedy Heuristics,"[(3, 5)]",10,1,9.822845458984375e-05,1,0.0,1.0
5,0.25,6,Exhaustive Search,"[(1, 4), (3, 5)]",13,49,0.002214193344116211,63,NA,NA
5,0.25,6,Minimum Weight Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,8.797645568847656e-05,2,0.0,1.0
5,0.25,6,Maximum Connection Greedy Heuristics,"[(1, 5), (2, 3)]",26,2,0.00020170211791992188,2,1.0,2.0
5,0.25,6,Chaurasia Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.0002269744873046875,2,0.0,1.0
5,0.5,7,Exhaustive Search,"[(1, 4), (3, 5)]",13,107,0.0035009384155273438,127,NA,NA
5,0.5,7,Minimum Weight Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,6.914138793945312e-05,2,0.0,1.0
5,0.5,7,Maximum Connection Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.0001385211944580078,2,0.0,1.0
5,0.5,7,Chaurasia Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00014495849609375,2,0.0,1.0
5,0.75,8,Exhaustive Search,"[(1, 4), (3, 4)]",12,227,0.00801229476928711,255,NA,NA
5,0.75,8,Minimum Weight Greedy Heuristics,"[(1, 4), (3, 4)]",12,2,0.00012493133544921875,2,0.0,1.0
5,0.75,8,Maximum Connection Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00020742416381835938,2,0.08333333333333333,1.0833333333333333
5,0.75,8,Chaurasia Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00032591819763183594,2,0.08333333333333333,1.0833333333333333
6,0.125,5,Exhaustive Search,"[(4, 6), (5, 6)]",16,21,0.0013337135314941406,31,NA,NA
6,0.125,5,Minimum Weight Greedy Heuristics,"[(5, 6), (3, 5), (4, 6)]",24,3,0.00017404556274414062,3,0.5,1.5
6,0.125,5,Maximum Connection Greedy Heuristics,"[(5, 6), (2, 4)]",27,2,0.00018715858459472656,2,0.6875,1.6875
6,0.125,5,Chaurasia Greedy Heuristics,"[(5, 6), (2, 4)]",27,2,0.00020122528076171875,2,0.6875,1.6875
6,0.25,8,Exhaustive Search,"[(1, 2), (5, 6)]",18,203,0.007799863815307617,255,NA,NA
6,0.25,8,Minimum Weight Greedy Heuristics,"[(1, 6), (5, 6), (3, 5), (4, 6)]",29,4,0.0001049041748046875,4,0.6111111111111112,1.6111111111111112
6,0.25,8,Maximum Connection Greedy Heuristics,"[(1, 6), (2, 4), (3, 5)]",34,3,0.0001862049102783203,3,0.8888888888888888,1.8888888888888888
6,0.25,8,Chaurasia Greedy Heuristics,"[(1, 6), (3, 5), (2, 4)]",34,3,0.00017833709716796875,3,0.8888888888888888,1.8888888888888888
6,0.5,12,Exhaustive Search,"[(1, 6), (3, 6), (4, 5)]",14,3835,0.12248826026916504,4095,NA,NA
6,0.5,12,Minimum Weight Greedy Heuristics,"[(4, 5), (1, 6), (3, 6)]",14,3,0.00010824203491210938,3,0.0,1.0
6,0.5,12,Maximum Connection Greedy Heuristics,"[(1, 6), (4, 5), (2, 3)]",19,3,0.00022673606872558594,3,0.35714285714285715,1.3571428571428572
6,0.5,12,Chaurasia Greedy Heuristics,"[(4, 5), (1, 6), (2, 3)]",19,3,0.0002334117889404297,3,0.35714285714285715,1.3571428571428572
6,0.75,13,Exhaustive Search,"[(1, 6), (3, 6), (4, 5)]",14,7823,0.2688570022583008,8191,NA,NA
6,0.75,13,Minimum Weight Greedy Heuristics,"[(4, 5), (1, 6), (3, 6)]",14,3,0.00011467933654785156,3,0.0,1.0
6,0.75,13,Maximum Connection Greedy Heuristics,"[(4, 6), (3, 5), (1, 2)]",30,3,0.0002582073211669922,3,1.1428571428571428,2.142857142857143
6,0.75,13,Chaurasia Greedy Heuristics,"[(4, 5), (1, 6), (2, 3)]",19,3,0.0003261566162109375,3,0.35714285714285715,1.3571428571428572
7,0.125,6,Exhaustive Search,"[(1, 5), (3, 7), (4, 6)]",12,33,0.0026404857635498047,63,NA,NA
7,0.125,6,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 5), (3, 7)]",12,3,0.0001964569091796875,3,0.0,1.0
7,0.125,6,Maximum Connection Greedy Heuristics,"[(6, 7), (1, 5), (2, 4)]",19,3,0.0003898143768310547,3,0.5833333333333334,1.5833333333333333
7,0.125,6,Chaurasia Greedy Heuristics,"[(4, 6), (3, 7), (1, 5)]",12,3,0.00026702880859375,3,0.0,1.0
7,0.25,10,Exhaustive Search,"[(1, 2), (6, 7)]",10,871,0.03489804267883301,1023,NA,NA
7,0.25,10,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (1, 5), (3, 7)]",16,4,0.00014710426330566406,4,0.6,1.6
7,0.25,10,Maximum Connection Greedy Heuristics,"[(1, 7), (4, 6)]",18,2,0.0002033710479736328,2,0.8,1.8
7,0.25,10,Chaurasia Greedy Heuristics,"[(4, 6), (1, 2), (3, 7)]",11,3,0.00024199485778808594,3,0.1,1.1
7,0.5,15,Exhaustive Search,"[(1, 5), (4, 7)]",9,31017,1.1433241367340088,32767,NA,NA
7,0.5,15,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (3, 4), (4, 7)]",14,4,0.00013899803161621094,4,0.5555555555555556,1.5555555555555556
7,0.5,15,Maximum Connection Greedy Heuristics,"[(4, 7), (1, 2), (3, 5)]",19,3,0.0002453327178955078,3,1.1111111111111112,2.111111111111111
7,0.5,15,Chaurasia Greedy Heuristics,"[(4, 6), (1, 2), (3, 7)]",11,3,0.0002658367156982422,3,0.2222222222222222,1.2222222222222223
7,0.75,18,Exhaustive Search,"[(1, 5), (4, 6), (4, 7)]",11,256281,8.928917407989502,262143,NA,NA
7,0.75,18,Minimum Weight Greedy Heuristics,"[(4, 6), (1, 2), (3, 4), (4, 7)]",14,4,0.00018548965454101562,4,0.2727272727272727,1.2727272727272727
7,0.75,18,Maximum Connection Greedy Heuristics,"[(4, 7), (1, 5), (3, 6)]",14,3,0.0002980232238769531,3,0.2727272727272727,1.2727272727272727
7,0.75,18,Chaurasia Greedy Heuristics,"[(4, 6), (1, 5), (3, 7)]",12,3,0.0003299713134765625,3,0.09090909090909091,1.0909090909090908
8,0.125,8,Exhaustive Search,"[(1, 5), (2, 4), (7, 8)]",20,159,0.0067212581634521484,255,NA,NA
8,0.125,8,Minimum Weight Greedy Heuristics,"[(7, 8), (1, 5), (2, 4)]",20,3,0.00013065338134765625,3,0.0,1.0
8,0.125,8,Maximum Connection Greedy Heuristics,"[(5, 7), (4, 6)]",27,2,0.00021195411682128906,2,0.35,1.35
8,0.125,8,Chaurasia Greedy Heuristics,"[(7, 8), (1, 5), (4, 6)]",21,3,0.00028395652770996094,3,0.05,1.05
8,0.25,12,Exhaustive Search,"[(1, 4), (7, 8)]",11,3407,0.13227009773254395,4095,NA,NA
8,0.25,12,Minimum Weight Greedy Heuristics,"[(7, 8), (1, 4)]",11,2,7.796287536621094e-05,2,0.0,1.0
8,0.25,12,Maximum Connection Greedy Heuristics,"[(1, 7), (4, 6), (5, 8)]",36,3,0.00020575523376464844,3,2.272727272727273,3.272727272727273
8,0.25,12,Chaurasia Greedy Heuristics,"[(7, 8), (1, 5), (4, 6)]",21,3,0.0003573894500732422,3,0.9090909090909091,1.9090909090909092
8,0.5,18,Exhaustive Search,"[(1, 4), (3, 5), (7, 8)]",16,247957,8.48928165435791,262143,NA,NA
8,0.5,18,Minimum Weight Greedy Heuristics,"[(3, 5), (6, 8), (7, 8), (1, 4)]",21,4,0.00014543533325195312,4,0.3125,1.3125
8,0.5,18,Maximum Connection Greedy Heuristics,"[(1, 7), (3, 5), (6, 8), (2, 4)]",33,4,0.0002741813659667969,4,1.0625,2.0625
8,0.5,18,Chaurasia Greedy Heuristics,"[(7, 8), (3, 5), (1, 4)]",16,3,0.00027823448181152344,3,0.0,1.0
8,0.75,23,Exhaustive Search,"[(1, 2), (3, 6), (7, 8)]",16,8274471,302.8498730659485,8388607,NA,NA
8,0.75,23,Minimum Weight Greedy Heuristics,"[(3, 6), (2, 8), (3, 5), (6, 8), (7, 8), (1, 4)]",28,6,0.00021886825561523438,6,0.75,1.75
8,0.75,23,Maximum Connection Greedy Heuristics,"[(7, 8), (5, 6), (1, 4)]",19,3,0.0002949237823486328,3,0.1875,1.1875
8,0.75,23,Chaurasia Greedy Heuristics,"[(3, 6), (7, 8), (1, 5), (2, 4)]",23,4,0.00041985511779785156,4,0.4375,1.4375
9,0.125,10,Exhaustive Search,"[(4, 7), (5, 6), (8, 9)]",8,731,0.030556201934814453,1023,NA,NA
9,0.125,10,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (5, 7), (8, 9)]",17,6,0.0001475811004638672,6,1.125,2.125
9,0.125,10,Maximum Connection Greedy Heuristics,"[(5, 7), (6, 8), (1, 9)]",13,3,0.00018715858459472656,3,0.625,1.625
9,0.125,10,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (8, 9)]",8,3,0.00020003318786621094,3,0.0,1.0
9,0.25,17,Exhaustive Search,"[(1, 9), (4, 7), (5, 6)]",9,118053,4.182421922683716,131071,NA,NA
9,0.25,17,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (5, 7), (8, 9), (1, 9)]",23,7,0.00021457672119140625,7,1.5555555555555556,2.5555555555555554
9,0.25,17,Maximum Connection Greedy Heuristics,"[(1, 9), (5, 7), (6, 8)]",13,3,0.0002989768981933594,3,0.4444444444444444,1.4444444444444444
9,0.25,17,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (1, 9)]",9,3,0.0002655982971191406,3,0.0,1.0
9,0.5,23,Exhaustive Search,"[(1, 9), (4, 7), (5, 6)]",9,8064383,295.29788994789124,8388607,NA,NA
9,0.5,23,Minimum Weight Greedy Heuristics,"[(5, 6), (4, 7), (5, 8), (6, 8), (4, 5), (4, 8), (7, 8), (5, 7), (5, 9), (8, 9), (1, 9)]",40,11,0.0003139972686767578,11,3.4444444444444446,4.444444444444445
9,0.5,23,Maximum Connection Greedy Heuristics,"[(4, 5), (1, 9), (7, 8), (2, 6)]",29,4,0.0003285408020019531,4,2.2222222222222223,3.2222222222222223
9,0.5,23,Chaurasia Greedy Heuristics,"[(5, 6), (4, 7), (1, 9)]",9,3,0.00035071372985839844,3,0.0,1.0
